area,bbox,category_id,id,image_id
0.009,"[0.14669516046674358, 0.8172596266496202, 0.3398679955368119, 0.027038785532092824]",1,4,2
0.01,"[0.1830540707236842, 0.8483832465277777, 0.2936312296744169, 0.035278094256365744]",1,5,2
0.008,"[0.21358420632102273, 0.8757179542824074, 0.23812961122065637, 0.03408519603587967]",1,6,2
0.006,"[0.5366111738148984, 0.899244842346794, 0.08565974181715574, 0.0657897737639116]",2,7,3
0.005,"[0.6299114700902935, 0.90049396494709, 0.06553770457110608, 0.07143546075837737]",2,8,3
0.009,"[0.14191772299624344, 0.8094503897207754, 0.2817412807235507, 0.03251773947495762]",1,9,4
0.007,"[0.16751928944007308, 0.8457117151331018, 0.25093847015308024, 0.02854704680266207]",1,10,4
0.004,"[0.2057887694147151, 0.8834052191840278, 0.18001947880929295, 0.02292254412615735]",1,11,4
0.012,"[0.7433633816879104, 0.8603746837852442, 0.13153026002001045, 0.0920006493147657]",1,12,5
0.002,"[0.22041950288778878, 0.44613191451149425, 0.08731048886138615, 0.024233217592592615]",3,13,5
0.002,"[0.4357144698844885, 0.4447350435025543, 0.09053346740924084, 0.023048371647509558]",3,14,5
0.002,"[0.28131768254950495, 0.5120841814335888, 0.08488519750412543, 0.022711625957854364]",3,15,5
0.001,"[0.21766385622937293, 0.4942865481321839, 0.04196318069306934, 0.028112029054916998]",3,16,5
0.003,"[0.5479949850453796, 0.4802492416985951, 0.11443991078795379, 0.029876825909961713]",3,17,5
0.005,"[0.762363345709571, 0.5197919161079183, 0.13250470554867988, 0.03808967911877392]",3,18,5
0.012,"[0.14338381171005335, 0.7830254565710308, 0.31195645871985156, 0.03809339150615132]",1,19,6
0.008,"[0.14067091791439587, 0.8278855948612608, 0.30111467860404106, 0.027079965876436796]",1,20,6
0.013,"[0.19501298610708487, 0.8454075955796516, 0.2969474721706865, 0.04304539472207247]",1,21,6
0.007,"[0.16715224908322704, 0.8123971347151131, 0.30158087848953496, 0.02445712034729708]",1,22,7
0.005,"[0.16814993042671614, 0.8479331882520654, 0.2292754504145408, 0.021231815732758563]",1,23,7
0.009,"[0.12200389583372734, 0.791304347826087, 0.26290587588220665, 0.03380883749748387]",1,26,9
0.011,"[0.15691204162305622, 0.8228556315104166, 0.2977142333984375, 0.036302693684895915]",1,27,9
0.011,"[0.21574949419669556, 0.8527174207899305, 0.2512385172136663, 0.04426145200376164]",1,28,9
0.022,"[0.11792519887288412, 0.7994443195140686, 0.33445354461669924, 0.06708971741591196]",1,29,10
0.011,"[0.1292487416889331, 0.8035714285714285, 0.35990803454918296, 0.029262885845527498]",1,30,11
0.011,"[0.15646493720095694, 0.8394362838179977, 0.32356152694191087, 0.03476799858940971]",1,31,11
0.009,"[0.16579241252280544, 0.8015564202334631, 0.2941196822504826, 0.0307384864245287]",1,32,12
0.008,"[0.17005475057939592, 0.8357938413266782, 0.3051378167987441, 0.027817111545138884]",1,33,12
0.024,"[0.08617172241210938, 0.8214197060496536, 0.2997569274902344, 0.07970640831386921]",1,34,13
0.004,"[0.1392793810727931, 0.7030288397412155, 0.12338138397848966, 0.03584597320162086]",1,35,13
0.021,"[0.5251990763346354, 0.6754800068963435, 0.28775522867838543, 0.07290822451876611]",1,36,13
0.004,"[0.130350341796875, 0.9055533654911002, 0.16103368123372397, 0.027608183241382034]",4,37,13
0.002,"[0.17216754433335058, 0.7736317523746807, 0.10970028504630586, 0.02273672598379628]",4,38,13
0.004,"[0.5773546837813017, 0.7720710296435983, 0.112261740577142, 0.031453216669659945]",4,39,13
0.038,"[0.5326294567062818, 0.697232778137128, 0.34040083828522927, 0.11141655886157831]",1,40,14
0.044,"[0.7780400815217391, 0.5909767316017316, 0.1856940670289855, 0.2352035984848485]",1,41,15
0.009,"[0.16362766697588127, 0.8107208602729885, 0.3059751266451183, 0.02999474536413438]",1,42,16
0.009,"[0.16192700557673353, 0.8455609727179867, 0.3526616423824501, 0.0244140625]",1,43,16
0.002,"[0.10419018058690745, 0.806637180335097, 0.051266224604966146, 0.04357156635802473]",2,44,17
0.004,"[0.1294926283860045, 0.84371555335097, 0.06396374153498871, 0.060484871031746046]",2,45,17
0.021,"[0.4124768575032552, 0.9099818412504048, 0.31761027018229165, 0.06560283127226352]",1,46,18
0.037,"[0.5765510458699953, 0.8654143111390284, 0.33758580975282626, 0.109269233164769]",1,47,19
0.025,"[0.42830729166666665, 0.5926311243718593, 0.2588454861111111, 0.09780019891122282]",1,48,20
0.029,"[0.456152089436849, 0.6660005235180413, 0.2807619222005208, 0.10211433331990971]",1,49,21
0.022,"[0.16879519628099174, 0.7166326406856404, 0.30747029958677685, 0.07252081985769732]",1,50,22
0.003,"[0.4229191230400094, 0.8753267680395913, 0.0467485462416975, 0.05662940014367812]",2,55,24
0.004,"[0.5345547909768212, 0.8773597142401022, 0.08723581074089404, 0.04910874640804597]",2,56,24
0.022,"[0.5192904663085938, 0.4720745934918996, 0.2695404052734375, 0.08214091164032722]",1,57,25
0.012,"[0.4906884875846501, 0.5380964610440788, 0.2728290773137697, 0.04371561775826627]",1,58,26
0.036,"[0.11286681715575621, 0.5217134300126103, 0.35283225169300225, 0.1021235024580952]",1,59,26
0.007,"[0.5168242899576823, 0.6319139837449597, 0.16164652506510424, 0.04476278981854842]",4,60,26
0.007,"[0.1273499224040632, 0.687200462831226, 0.1902246755079007, 0.03866901860946437]",1,61,26
0.005,"[0.17221889108352145, 0.6338471099213286, 0.13931115970654628, 0.03635134396853146]",4,62,26
0.004,"[0.15748888967268623, 0.7623777589597902, 0.12536152652370205, 0.029143220061188857]",4,63,26
0.004,"[0.4017882336343115, 0.828490357298951, 0.07030368227990974, 0.059187882430069894]",2,64,26
0.002,"[0.5416593185665914, 0.8540175644667832, 0.06432085919864561, 0.03426846590909094]",2,65,26
0.011,"[0.6122365789059053, 0.8061617458279847, 0.15608097941608878, 0.07143355931013629]",2,66,27
0.004,"[0.7749916733495447, 0.8279835979905013, 0.10027965015133489, 0.04347418033604733]",2,67,27
0.014,"[0.14077842712402344, 0.7008868907232705, 0.19088907877604167, 0.0716357728970125]",1,68,28
0.012,"[0.3330757565067254, 0.7813027839378923, 0.23295922964529814, 0.0496837362839847]",1,69,29
0.006,"[0.32404930239818136, 0.8162386566590837, 0.13540529344902663, 0.04114206053440295]",1,70,29
0.02,"[0.295689917392418, 0.8480176280132503, 0.273443103227459, 0.07340907928739626]",1,71,29
0.002,"[0.4501201692174693, 0.3803466173271871, 0.10333867307569161, 0.019778430690253812]",3,72,29
0.002,"[0.3962838886589404, 0.9187482539112388, 0.05948300393211925, 0.029427831657088177]",2,73,30
0.003,"[0.5479906094784768, 0.923899215756705, 0.08309673789321192, 0.033537376277139264]",2,74,30
0.007,"[0.14912289074172136, 0.8152252836119918, 0.2925383726758784, 0.024473962461314946]",1,75,31
0.009,"[0.17471284273138457, 0.830654455114294, 0.26607042522521684, 0.033849306459780015]",1,76,31
0.011,"[0.17429127976246764, 0.8057971014492753, 0.3311534315486885, 0.03459092783659168]",1,77,32
0.01,"[0.17937261408025568, 0.8368860315393518, 0.3213058544688248, 0.030592854817708348]",1,78,32
0.01,"[0.2461804111608478, 0.8641332555700232, 0.2714292535371188, 0.03806672272858791]",1,79,32
0.008,"[0.1529647353725388, 0.7991893627025463, 0.2332812470866274, 0.033171251085069464]",1,80,33
0.008,"[0.1509307642825179, 0.8342124656394676, 0.3118372077304594, 0.025859465422453654]",1,81,33
0.007,"[0.1990089871718377, 0.8603740550853588, 0.2368910614232175, 0.02998623318142357]",1,82,33
0.013,"[0.1514062266930191, 0.7867803502965857, 0.26245335690446003, 0.049145394784432805]",1,83,34
0.009,"[0.19793147631078462, 0.8564425998263889, 0.20460834366609487, 0.043969952618634234]",1,84,34
0.016,"[0.023532015482584635, 0.8913600174422117, 0.2988114802042643, 0.054345671663579176]",1,85,35
0.023,"[0.03816430409749349, 0.6978228854149887, 0.4205147425333659, 0.05387988532941368]",1,86,35
0.01,"[0.09965447039643595, 0.7865966173271871, 0.2616698209904442, 0.03689095800407083]",1,87,35
0.004,"[0.5904161689695248, 0.075557431041966, 0.11392156427556821, 0.037624666060524434]",4,88,35
0.007,"[0.15112160566706023, 0.8115079365079365, 0.26636972713594914, 0.024847670459242743]",1,89,36
0.008,"[0.16351741809023623, 0.8370491310402199, 0.23397316088516745, 0.03338396990740733]",1,90,36
0.023,"[0.5540938188325991, 0.31295147613065327, 0.2930806029735683, 0.08005522403685089]",1,91,37
0.008,"[0.1523248635824499, 0.814993954050786, 0.3119032920973974, 0.025701202347476193]",1,92,38
0.011,"[0.17450417311493138, 0.8378248426649305, 0.29927940641781026, 0.037119773582176]",1,93,38
0.027,"[0.5353559027777778, 0.7745498324958124, 0.3058420138888889, 0.08712180695142369]",1,94,39
0.009,"[0.16107706708807262, 0.808695652173913, 0.31662915823514953, 0.02944431274217496]",1,95,40
0.008,"[0.2348130100372238, 0.8730236501893368, 0.2279269983032741, 0.03296932398601038]",1,96,40
0.01,"[0.18021615498373952, 0.8396008526837384, 0.2566661925977497, 0.03835370099103008]",1,97,40
0.065,"[0.6210711050724638, 0.5914703647416414, 0.2730751811594203, 0.23773508738601823]",1,98,41
0.021,"[0.6079380798339844, 0.3692142687345806, 0.31745000203450513, 0.06667600932874179]",1,99,42
0.012,"[0.16702914310569816, 0.7996031746031745, 0.33704094948114094, 0.036735462007068564]",1,100,43
0.008,"[0.1970701080760317, 0.8419793023003472, 0.22956242173482355, 0.036758083767361116]",1,101,43
0.009,"[0.3217189263544018, 0.7844482768728825, 0.1983369779909706, 0.043182518681013304]",1,102,44
0.012,"[0.27878103837471785, 0.846963680740228, 0.21188540490970653, 0.05677438606517071]",1,103,44
0.003,"[0.5529812711625283, 0.4056185125883392, 0.0963909071670428, 0.031281056757950565]",4,104,44
0.008,"[0.17051495780307863, 0.8071813473756286, 0.26596805381421035, 0.028301545943336892]",1,105,45
0.008,"[0.17332931263769713, 0.8384911548132183, 0.3081927750681238, 0.027231501436781658]",1,106,45
0.005,"[0.21544289102359693, 0.8676571023875269, 0.19826936456400746, 0.023070850591550007]",1,107,45
0.011,"[0.3216616111738149, 0.8003596897635958, 0.20687253103837472, 0.052884482405678224]",1,108,46
0.012,"[0.5253465363995485, 0.8167254778119508, 0.16237390660270878, 0.07095095562390152]",1,109,46
0.022,"[0.2880043735891648, 0.8648224681458699, 0.22812323645598193, 0.0978793662126538]",1,110,46
0.025,"[0.1297517964039309, 0.7506099130915499, 0.2950414540816326, 0.08451939725327773]",1,111,47
0.011,"[0.1353756368491999, 0.8334643484532148, 0.3053348803122101, 0.03446215048603629]",1,112,47
0.008,"[0.15776092254363738, 0.7938907559357542, 0.22271959459459462, 0.0340432960893855]",1,113,48
0.009,"[0.1576295045045045, 0.8318184793994413, 0.3512082761472409, 0.02520334254430001]",1,114,48
0.02,"[0.13585475342540237, 0.7902061664238177, 0.3171565276828436, 0.06150793650793662]",1,115,49
0.014,"[0.12490875049643513, 0.7955671522352431, 0.3845649984002527, 0.03692841706452543]",1,116,50
0.008,"[0.15149312726618572, 0.8287810149016204, 0.21443796842292165, 0.036668904622395804]",1,117,50
0.008,"[0.1813157458473446, 0.8086105872844828, 0.2834531539888683, 0.028973283438846975]",1,118,51
0.006,"[0.18004504824834763, 0.8419764727011494, 0.29049988359157586, 0.021085892600574696]",1,119,51
0.012,"[0.22968848516857027, 0.864093210505343, 0.3630807625340619, 0.03214237607758619]",1,120,51
0.005,"[0.12768069639900662, 0.8699824892241379, 0.05885244205298015, 0.08463541666666674]",2,121,52
0.003,"[0.6603357176117549, 0.8982566550925926, 0.07643541752897354, 0.0359320122924649]",2,122,52
0.003,"[0.2522975087955298, 0.19359135536398467, 0.17601568967301323, 0.018146851053639862]",3,123,52
0.001,"[0.8019696166183775, 0.19361629948914433, 0.086669921875, 0.01650677482439336]",3,124,52
0.01,"[0.16689893018018018, 0.791035657488434, 0.30533502252252254, 0.03289036244653465]",1,125,53
0.009,"[0.16248124956010698, 0.8271920827513967, 0.2744581067884291, 0.03314677829848989]",1,126,53
0.033,"[0.5153530878607809, 0.5554758247089263, 0.34735780984719866, 0.09556921086675285]",1,127,54
0.035,"[0.11175759633382161, 0.472522362580977, 0.3521472295125326, 0.09910374607847128]",1,128,55
0.009,"[0.17651796083192567, 0.7945072451117319, 0.27618012299408784, 0.03137914561692556]",1,129,56
0.006,"[0.17185624956010698, 0.8340771211592178, 0.2426309671487894, 0.02453775246050105]",1,130,56
0.027,"[0.046531842549641926, 0.8264828786542339, 0.33622877756754554, 0.07928269909274199]",1,131,57
0.002,"[0.09789615347365703, 0.3499541885551365, 0.09557853257360537, 0.01933415243604325]",3,132,57
0.002,"[0.3962944598237345, 0.4826268845286558, 0.08730433440405472, 0.019941658809267182]",3,133,57
0.008,"[0.17303239806624485, 0.6811562412695562, 0.1781965775923295, 0.04501806578264689]",1,134,57
0.022,"[0.0780341030152376, 0.7441545781200112, 0.3354953229919938, 0.0659963088930795]",1,135,57
0.008,"[0.17781534000318877, 0.7991106756802263, 0.2518069350431934, 0.030331403359599496]",1,136,58
0.009,"[0.1784675895393669, 0.8366895653735632, 0.309733941072878, 0.027654362821030953]",1,137,58
0.011,"[0.876118683905656, 0.6806525166829427, 0.09517864038735735, 0.11226715087890626]",1,138,59
0.005,"[0.19658751202497263, 0.7507026448255907, 0.15281861980163366, 0.03364202167913111]",4,139,60
0.006,"[0.5707695057850011, 0.7499435639168263, 0.11628601882631406, 0.04951471204501923]",4,140,60
0.011,"[0.172947258349286, 0.8087902629360233, 0.23815523867575536, 0.0456952987807312]",3,141,60
0.015,"[0.5418770897467404, 0.6668196053340517, 0.3058292818385244, 0.04818285166227654]",3,142,60
0.012,"[0.15322749662083507, 0.6690458685045498, 0.24588154167528975, 0.047137536917305156]",3,143,60
0.002,"[0.21497309602649006, 0.8823913340367576, 0.08726344834889799, 0.01869429665050293]",4,144,60
0.015,"[0.13950059254964192, 0.790173450386077, 0.3539480463663737, 0.043137879760268394]",1,145,61
0.008,"[0.17063006282332926, 0.8289409496166088, 0.26652049846971293, 0.03083236129195599]",1,146,61
0.009,"[0.21865136543529456, 0.8572530110677083, 0.2751857629803379, 0.03168900101273142]",1,147,61
0.009,"[0.12200389583372734, 0.791304347826087, 0.3074935921454508, 0.03073923107890497]",1,148,62
0.012,"[0.1485140411355599, 0.826535766404992, 0.3079184283218602, 0.04057971014492756]",1,149,62
0.035,"[0.0710322445561139, 0.774377425614489, 0.34759081867671693, 0.10207288971539463]",1,150,63
0.02,"[0.5162518819173177, 0.56640379910642, 0.33014221191406246, 0.06159720149064929]",1,151,64
0.028,"[0.13971856435139973, 0.5543923649763196, 0.33401312510172526, 0.08292867235569146]",1,152,64
0.015,"[0.5365404256184896, 0.6350853084900219, 0.2652503458658855, 0.057398781257589904]",1,153,64
0.015,"[0.5193736775716146, 0.4938439087546551, 0.24662679036458335, 0.05969839145482514]",1,154,64
0.013,"[0.1908874766031901, 0.696337447882934, 0.26056495666503904, 0.05160063906654788]",1,155,64
0.013,"[0.5347320556640625, 0.6949234404094479, 0.2207056681315105, 0.058989846026959225]",1,156,64
0.02,"[0.1781760279337565, 0.7601283572498381, 0.2586379369099935, 0.07657967206727656]",1,157,64
0.024,"[0.45972259719222464, 0.31169519472361806, 0.27104144168466526, 0.08862018425460638]",1,158,65
0.011,"[0.18621199324324325, 0.8213636515526798, 0.36358389639639643, 0.0307317126396649]",1,159,66
0.006,"[0.17832207207207207, 0.7991118191340782, 0.25933518968186936, 0.0233866089549144]",1,160,66
0.013,"[0.11726596640871144, 0.7932285368802902, 0.30687906069730736, 0.041755345317337156]",1,161,67
0.014,"[0.14544794269279535, 0.8239879466869213, 0.29738192683472553, 0.04672365541811341]",1,162,67
0.016,"[0.18506682402763275, 0.8585242377387152, 0.30551970488700775, 0.05142946596498843]",1,163,67
0.014,"[0.13376100862892154, 0.8551892610755711, 0.33956953654309174, 0.0407046798730627]",1,164,68
